	value	expression
460	32	('*', 2, ('*', ('+', 6, 10), 1))
461	32	('*', 2, ('*', ('+', 10, 6), 1))
462	32	('*', 1, ('*', 2, ('+', 6, 10)))
463	32	('*', 1, ('*', 2, ('+', 10, 6)))
464	32	('*', 1, ('*', ('+', 6, 10), 2))
465	32	('*', 1, ('*', ('+', 10, 6), 2))
466	32	('*', ('/', 2, 1), ('+', 6, 10))
467	32	('*', ('/', 2, 1), ('+', 10, 6))
468	32	('*', ('/', ('+', 6, 10), 1), 2)
469	32	('*', ('/', ('+', 10, 6), 1), 2)
470	32	('*', ('+', 6, 10), ('/', 2, 1))
471	32	('*', ('+', 6, 10), ('*', 2, 1))
472	32	('*', ('+', 6, 10), ('*', 1, 2))
473	32	('*', ('+', 6, ('/', 10, 1)), 2)
474	32	('*', ('+', 6, ('*', 10, 1)), 2)
475	32	('*', ('+', 6, ('*', 1, 10)), 2)
476	32	('*', ('+', 10, 6), ('/', 2, 1))
477	32	('*', ('+', 10, 6), ('*', 2, 1))
478	32	('*', ('+', 10, 6), ('*', 1, 2))
479	32	('*', ('+', 10, ('/', 6, 1)), 2)
480	32	('*', ('+', 10, ('*', 6, 1)), 2)
481	32	('*', ('+', 10, ('*', 1, 6)), 2)
482	32	('*', ('+', ('/', 6, 1), 10), 2)
483	32	('*', ('+', ('/', 10, 1), 6), 2)
484	32	('*', ('+', ('*', 6, 1), 10), 2)
485	32	('*', ('+', ('*', 10, 1), 6), 2)
486	32	('*', ('+', ('*', 1, 6), 10), 2)
487	32	('*', ('+', ('*', 1, 10), 6), 2)
488	32	('*', ('*', 2, 1), ('+', 6, 10))
489	32	('*', ('*', 2, 1), ('+', 10, 6))
490	32	('*', ('*', 2, ('+', 6, 10)), 1)
491	32	('*', ('*', 2, ('+', 10, 6)), 1)
